id,province,category,score_category,hotel,score_hotel
72,Esmeraldas,Comfort,8.9,Cabañas Ecologicas Cayapas,8.9
73,Esmeraldas,Value for money,8.7,Cabañas Ecologicas Cayapas,8.9
74,Esmeraldas,Location,9.5,Cabañas Ecologicas Cayapas,8.9
75,Esmeraldas,Free WiFi,8.2,Cabañas Ecologicas Cayapas,8.9
76,Esmeraldas,Staff,8.8,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
77,Esmeraldas,Facilities,7.9,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
78,Esmeraldas,Cleanliness,8.7,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
79,Esmeraldas,Comfort,8.4,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
80,Esmeraldas,Value for money,7.3,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
81,Esmeraldas,Location,8.6,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5
82,Esmeraldas,Staff,9.2,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
83,Esmeraldas,Facilities,9.1,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
84,Esmeraldas,Cleanliness,9.5,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
85,Esmeraldas,Comfort,9.5,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
86,Esmeraldas,Value for money,8.9,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
87,Esmeraldas,Location,9.2,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
88,Esmeraldas,Free WiFi,10,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1
89,Esmeraldas,Staff,9.2,Tonsupa Diamond Beach Apart - Hotel,8.7
90,Esmeraldas,Facilities,8.6,Tonsupa Diamond Beach Apart - Hotel,8.7
91,Esmeraldas,Cleanliness,8.9,Tonsupa Diamond Beach Apart - Hotel,8.7
92,Esmeraldas,Comfort,9.0,Tonsupa Diamond Beach Apart - Hotel,8.7
93,Esmeraldas,Value for money,8.7,Tonsupa Diamond Beach Apart - Hotel,8.7
94,Esmeraldas,Location,9.6,Tonsupa Diamond Beach Apart - Hotel,8.7
95,Esmeraldas,Free WiFi,7.5,Tonsupa Diamond Beach Apart - Hotel,8.7
96,Esmeraldas,Staff,9.3,Aparthotel Oleaje,8.9
97,Esmeraldas,Facilities,8.8,Aparthotel Oleaje,8.9
98,Esmeraldas,Cleanliness,9.3,Aparthotel Oleaje,8.9
99,Esmeraldas,Comfort,8.9,Aparthotel Oleaje,8.9
100,Esmeraldas,Value for money,8.8,Aparthotel Oleaje,8.9
101,Esmeraldas,Location,8.7,Aparthotel Oleaje,8.9
